Case_ID,nx,ny,nz
30,512,512,749
31,512,512,845
32,512,512,399
33,512,512,254
34,512,512,456
36,512,512,746
37,512,512,397
38,512,512,417
39,512,512,595
40,512,512,634
41,512,512,697
42,512,512,319
43,512,512,563
44,512,512,308
45,512,512,372
47,512,512,947
49,512,512,664
50,512,512,697
52,512,512,461
53,512,512,686
54,512,512,431
55,512,512,344
60,512,512,503
61,512,512,526
62,512,512,493
63,768,768,496
64,512,512,366
66,512,512,748
67,512,512,500
68,512,512,423
69,512,512,670
71,512,512,393
72,768,768,830
73,512,512,746
74,512,512,515
75,512,512,622
76,512,512,379
77,512,512,567
78,512,512,357
79,512,512,746
80,512,512,456
81,768,768,756
82,512,512,399
83,512,512,749
84,512,512,543
85,512,512,724
87,512,512,564
88,512,512,599
89,512,512,612
90,512,512,545
91,512,512,177
92,512,512,542
93,512,512,794
94,512,512,377
95,512,512,463
96,512,512,496
97,512,512,833
98,512,512,459
99,512,512,357
100,512,512,516
101,512,512,845
102,512,512,671
103,512,512,873
104,512,512,751
105,512,512,888
106,512,512,636
107,512,512,782
108,512,512,815
109,512,512,836
110,512,512,945
111,512,512,884
112,512,512,752
113,512,512,565
114,512,512,780
115,512,512,785
116,512,512,675
117,512,512,780
118,512,512,850
119,512,512,922
120,512,512,859
121,512,512,836
122,512,512,591
123,512,512,796
124,512,512,723
136,512,512,383
137,512,512,659
138,512,512,428
139,512,512,339
140,512,512,547
141,512,512,611
142,512,512,671
143,512,512,625
144,512,512,622
145,512,512,146
146,512,512,356
147,512,512,147
148,512,512,681
149,512,512,431
150,512,512,610
151,512,512,622
152,512,512,552
153,512,512,400
154,512,512,617
155,512,512,439
156,512,512,476
157,512,512,354
158,768,768,424
159,512,512,393
160,512,512,602
161,512,512,805
162,512,512,518
163,512,512,677
164,512,512,521
165,512,512,421
166,512,512,512
167,512,512,686
168,512,512,512
169,512,512,642
170,512,512,697
171,512,512,674
