case,nz,method,load_s,mpi_part_s,gpu_filter_s,gather_s,region_grow_s,write_s,eval_s,other_s,total_s,dice,pred_voxels,gt_voxels
100,516,v8,0.165,0.871,1.109,0.188,0.982,0.422,0.290,0.142,4.170,0.7851,317778,423992
101,845,v8,0.259,1.383,1.373,0.323,1.697,0.687,0.402,0.107,6.230,0.6064,356940,312181
102,671,v8,0.200,1.140,1.261,0.253,1.271,0.549,0.331,0.161,5.167,0.5361,544404,355747
103,873,v8,0.271,1.435,1.501,0.333,1.932,0.708,0.412,0.112,6.704,0.4508,480596,358774
104,751,v8,0.233,1.248,1.215,0.290,1.394,0.611,0.348,0.110,5.449,0.7252,245388,357709
105,888,v8,0.278,1.465,1.506,0.334,1.625,0.717,0.425,0.077,6.427,0.7425,205475,316930
106,636,v8,0.203,1.106,1.143,0.244,1.385,0.522,0.321,0.091,5.014,0.5332,392333,386096
107,782,v8,0.241,1.263,1.331,0.299,1.478,0.641,0.359,0.155,5.768,0.3266,508451,249119
108,815,v8,0.258,1.342,1.405,0.309,1.484,0.659,0.369,0.286,6.112,0.6064,125867,274337
109,836,v8,0.240,1.405,1.280,0.314,1.537,0.677,0.385,0.186,6.024,0.7463,176686,287027
110,945,v8,0.295,1.518,1.384,0.362,1.856,0.762,0.421,0.148,6.746,0.7329,189075,292288
111,884,v8,0.270,1.432,1.443,0.346,1.727,0.714,0.416,0.108,6.456,0.7925,254185,339448
112,752,v8,0.234,1.288,1.209,0.289,1.381,0.608,0.347,0.137,5.494,0.7332,169919,266092
113,565,v8,0.176,0.994,1.051,0.215,1.060,0.459,0.263,0.086,4.305,0.7756,154519,227619
114,780,v8,0.240,1.302,1.367,0.296,1.416,0.628,0.349,0.119,5.718,0.5707,86472,206873
115,785,v8,0.219,1.263,1.157,0.303,1.466,0.638,0.382,0.226,5.653,0.7405,409048,502652
116,675,v8,0.206,1.139,1.092,0.254,1.244,0.546,0.332,0.192,5.005,0.7296,230905,337779
117,780,v8,0.246,1.264,1.283,0.295,1.443,0.630,0.345,0.080,5.586,0.7605,158444,220530
118,850,v8,0.288,1.389,1.245,0.323,1.630,0.688,0.379,0.237,6.180,0.5300,270843,196330
119,922,v8,0.281,1.458,1.418,0.348,1.719,0.746,0.436,0.225,6.631,0.6800,178946,316882
120,859,v8,0.268,1.406,1.273,0.326,1.894,0.699,0.393,0.111,6.369,0.4412,466692,312423
121,836,v8,0.266,1.408,1.296,0.330,1.996,0.707,0.384,0.195,6.583,0.2057,1794213,293313
122,591,v8,0.216,0.990,0.952,0.229,1.062,0.478,0.279,0.238,4.444,0.7950,176009,226022
123,796,v8,0.251,1.324,1.159,0.306,1.519,0.643,0.370,0.099,5.673,0.7397,194481,273089
124,723,v8,0.216,1.212,1.109,0.279,2.396,0.605,0.315,0.186,6.317,0.1729,494251,134804
136,383,v8,0.131,0.666,0.934,0.144,0.744,0.318,0.216,0.144,3.297,0.7730,464520,396190
137,659,v8,0.198,1.113,1.098,0.246,1.234,0.535,0.361,0.174,4.959,0.8477,397565,527162
138,428,v8,0.139,0.770,0.956,0.162,0.776,0.348,0.218,0.110,3.479,0.8187,166949,228803
139,339,v8,0.109,0.621,0.749,0.124,0.629,0.278,0.170,0.166,2.846,0.6843,107992,163737
140,547,v8,0.167,0.946,1.017,0.201,0.986,0.444,0.287,0.263,4.312,0.7672,177569,275915
141,611,v8,0.194,1.018,1.071,0.231,1.195,0.496,0.305,0.187,4.697,0.8562,262951,306773
142,671,v8,0.212,1.118,1.139,0.263,1.244,0.545,0.355,0.247,5.125,0.7754,401392,472511
143,625,v8,0.226,1.064,1.009,0.249,1.197,0.508,0.364,0.171,4.788,0.7417,395585,609964
144,622,v8,0.199,1.110,1.042,0.243,1.133,0.507,0.307,0.160,4.700,0.4367,562606,270937
145,146,v8,0.058,0.372,0.626,0.045,0.273,0.128,0.057,0.158,1.716,0.6704,23350,45240
146,356,v8,0.105,0.649,0.800,0.139,0.660,0.295,0.191,0.162,3.001,0.7588,215267,206259
147,147,v8,0.041,0.404,0.642,0.044,0.278,0.122,0.062,0.142,1.734,0.7657,41422,64721
148,681,v8,0.211,1.151,1.285,0.274,1.222,0.546,0.288,0.029,5.007,0.3660,27582,121280
149,431,v8,0.148,0.805,0.907,0.160,0.766,0.351,0.209,0.143,3.489,0.7296,90058,147625
150,610,v8,0.189,1.038,1.032,0.224,1.143,0.498,0.336,0.101,4.561,0.7609,450542,431214
151,622,v8,0.190,1.020,1.253,0.235,1.158,0.510,0.338,0.161,4.866,0.8176,450283,517627
152,552,v8,0.177,0.963,1.072,0.216,0.972,0.444,0.244,0.246,4.333,0.7276,62333,106252
153,400,v8,0.129,0.731,0.926,0.163,0.727,0.327,0.202,0.063,3.269,0.8743,190806,215929
154,617,v8,0.197,1.013,1.002,0.236,1.108,0.499,0.311,0.122,4.487,0.7645,176301,277447
155,439,v8,0.135,0.835,1.068,0.169,0.795,0.356,0.220,0.107,3.686,0.7118,171827,265428
