Case_ID,Dice_Score,Load_Time,MPI_Part_Time,GPU_Filter_Time,Gather_Time,ONNX_Infer_Time,Region_Grow_Time,Write_Time,Eval_Time,Total_Time
100,0.9106,0.178,0.000,0.000,0.000,5.737,0.201,0.419,0.299,6.994
101,0.8855,0.321,0.000,0.000,0.000,7.966,0.306,0.678,0.407,9.937
102,0.9019,0.216,0.000,0.000,0.000,6.585,0.249,0.540,0.329,8.134
103,0.8746,0.285,0.000,0.000,0.000,7.917,0.315,0.700,0.408,9.895
104,0.9091,0.233,0.000,0.000,0.000,7.199,0.291,0.630,0.357,8.941
105,0.9198,0.296,0.000,0.000,0.000,7.925,0.312,0.732,0.431,9.970
106,0.9185,0.215,0.000,0.000,0.000,6.514,0.236,0.515,0.320,8.004
107,0.9140,0.266,0.000,0.000,0.000,7.213,0.289,0.626,0.352,8.984
108,0.9103,0.274,0.000,0.000,0.000,7.954,0.286,0.654,0.364,9.785
109,0.9105,0.274,0.000,0.000,0.000,7.936,0.294,0.694,0.389,9.845
110,0.9183,0.299,0.000,0.000,0.000,8.652,0.336,0.768,0.445,10.798
111,0.9206,0.285,0.000,0.000,0.000,7.918,0.320,0.728,0.425,9.948
112,0.9189,0.240,0.000,0.000,0.000,7.245,0.262,0.602,0.356,8.937
113,0.9451,0.200,0.000,0.000,0.000,5.744,0.215,0.456,0.261,7.052
114,0.8856,0.242,0.000,0.000,0.000,7.228,0.292,0.627,0.360,8.990
115,0.8967,0.268,0.000,0.000,0.000,7.291,0.296,0.666,0.385,9.147
116,0.8800,0.204,0.000,0.000,0.000,6.549,0.250,0.566,0.342,8.121
117,0.9091,0.252,0.000,0.000,0.000,7.274,0.287,0.626,0.343,9.019
118,0.6792,0.277,0.000,0.000,0.000,8.012,0.308,0.694,0.376,9.934
119,0.8765,0.297,0.000,0.000,0.000,8.801,0.340,0.744,0.446,10.911
120,0.9151,0.262,0.000,0.000,0.000,7.983,0.298,0.693,0.393,9.892
121,0.9079,0.268,0.000,0.000,0.000,7.942,0.292,0.670,0.383,9.814
122,0.9081,0.220,0.000,0.000,0.000,5.829,0.206,0.488,0.299,7.228
123,0.9134,0.237,0.000,0.000,0.000,7.382,0.309,0.649,0.379,9.200
124,0.8894,0.235,0.000,0.000,0.000,7.239,0.281,0.580,0.326,8.885
136,0.9165,0.128,0.000,0.000,0.000,4.330,0.143,0.323,0.225,5.272
137,0.9386,0.195,0.000,0.000,0.000,6.463,0.250,0.542,0.366,8.019
138,0.9306,0.154,0.000,0.000,0.000,5.085,0.160,0.357,0.228,6.121
139,0.9079,0.113,0.000,0.000,0.000,4.316,0.126,0.286,0.178,5.131
140,0.9203,0.172,0.000,0.000,0.000,5.803,0.204,0.442,0.283,7.080
141,0.9324,0.203,0.000,0.000,0.000,6.553,0.224,0.508,0.298,7.974
142,0.9000,0.231,0.000,0.000,0.000,6.489,0.257,0.555,0.366,8.103
143,0.8891,0.208,0.000,0.000,0.000,6.536,0.237,0.514,0.349,8.038
144,0.9246,0.190,0.000,0.000,0.000,6.438,0.233,0.514,0.322,7.887
145,0.7593,0.041,0.000,0.000,0.000,2.859,0.058,0.120,0.051,3.174
146,0.8835,0.115,0.000,0.000,0.000,4.311,0.136,0.298,0.191,5.161
147,0.8876,0.065,0.000,0.000,0.000,2.962,0.056,0.128,0.056,3.319
148,0.8616,0.214,0.000,0.000,0.000,6.576,0.244,0.544,0.300,8.091
149,0.9032,0.118,0.000,0.000,0.000,5.091,0.152,0.359,0.212,6.069
150,0.8975,0.178,0.000,0.000,0.000,6.492,0.229,0.494,0.335,7.914
151,0.9242,0.183,0.000,0.000,0.000,6.496,0.241,0.532,0.339,7.990
152,0.9165,0.177,0.000,0.000,0.000,5.741,0.187,0.443,0.257,6.976
153,0.9413,0.126,0.000,0.000,0.000,4.398,0.146,0.326,0.203,5.326
154,0.8978,0.178,0.000,0.000,0.000,6.461,0.220,0.507,0.309,7.869
155,0.8469,0.142,0.000,0.000,0.000,5.075,0.160,0.356,0.219,6.091
156,0.9182,0.153,0.000,0.000,0.000,5.065,0.169,0.397,0.243,6.176
157,0.9460,0.093,0.000,0.000,0.000,4.338,0.135,0.299,0.204,5.182
158,0.8134,0.333,0.000,0.000,0.000,10.706,0.340,0.776,0.435,12.883
159,0.9083,0.127,0.000,0.000,0.000,4.368,0.132,0.318,0.183,5.248
160,0.9073,0.187,0.000,0.000,0.000,5.822,0.214,0.499,0.287,7.193
161,0.8962,0.241,0.000,0.000,0.000,8.027,0.288,0.669,0.427,9.897
162,0.9350,0.166,0.000,0.000,0.000,5.782,0.198,0.420,0.252,6.979
163,0.9367,0.204,0.000,0.000,0.000,6.544,0.237,0.546,0.346,8.085
164,0.9157,0.156,0.000,0.000,0.000,5.769,0.186,0.436,0.250,6.962
165,0.8259,0.120,0.000,0.000,0.000,5.079,0.146,0.340,0.216,6.032
166,0.8884,0.169,0.000,0.000,0.000,5.161,0.194,0.415,0.310,6.414
167,0.9043,0.215,0.000,0.000,0.000,6.511,0.246,0.576,0.336,8.095
168,0.8832,0.178,0.000,0.000,0.000,5.061,0.120,0.411,0.219,6.146
169,0.8683,0.193,0.000,0.000,0.000,6.537,0.218,0.525,0.275,7.946
170,0.9224,0.220,0.000,0.000,0.000,6.525,0.246,0.559,0.344,8.107
171,0.9130,0.204,0.000,0.000,0.000,6.490,0.234,0.541,0.311,7.987
30,0.9346,0.250,0.000,0.000,0.000,7.364,0.263,0.628,0.364,9.099
31,0.9351,0.280,0.000,0.000,0.000,8.206,0.297,0.703,0.393,10.140
32,0.8653,0.135,0.000,0.000,0.000,4.376,0.143,0.334,0.211,5.325
33,0.9454,0.112,0.000,0.000,0.000,3.593,0.099,0.207,0.073,4.164
34,0.8894,0.146,0.000,0.000,0.000,5.138,0.161,0.380,0.232,6.200
36,0.9463,0.248,0.000,0.000,0.000,7.234,0.267,0.600,0.353,8.931
37,0.9322,0.143,0.000,0.000,0.000,4.305,0.149,0.325,0.211,5.267
38,0.9561,0.149,0.000,0.000,0.000,5.059,0.194,0.350,0.239,6.121
39,0.9065,0.208,0.000,0.000,0.000,5.800,0.200,0.487,0.272,7.151
40,0.9397,0.205,0.000,0.000,0.000,6.488,0.229,0.535,0.328,7.990
41,0.9183,0.252,0.000,0.000,0.000,6.503,0.242,0.571,0.337,8.121
42,0.9401,0.113,0.000,0.000,0.000,3.671,0.118,0.263,0.172,4.442
43,0.9139,0.196,0.000,0.000,0.000,5.748,0.217,0.467,0.344,7.150
44,0.9359,0.096,0.000,0.000,0.000,3.637,0.109,0.250,0.157,4.346
