Case_ID,Dice_Score,Load_Time,ONNX_Infer_Time,Region_Grow_Time,Write_Time,Eval_Time,Total_Time
100,0.8759,0.186,3.601,0.203,0.423,0.316,4.895
101,0.8393,0.274,5.067,0.307,0.702,0.437,7.05
102,0.8819,0.225,4.492,0.244,0.562,0.358,6.089
103,0.8691,0.292,5.129,0.318,0.727,0.431,7.169
104,0.8782,0.249,4.623,0.289,0.642,0.384,6.421
105,0.8705,0.29,4.991,0.319,0.733,0.454,7.061
106,0.8849,0.203,4.22,0.236,0.529,0.355,5.738
107,0.8721,0.251,4.764,0.295,0.644,0.375,6.572
108,0.8935,0.264,4.952,0.291,0.683,0.382,6.826
109,0.8825,0.295,4.809,0.304,0.7,0.423,6.79
110,0.8755,0.312,5.161,0.333,0.774,0.454,7.326
111,0.8732,0.297,5.075,0.317,0.727,0.439,7.13
112,0.8758,0.238,4.181,0.27,0.624,0.35,5.896
113,0.8973,0.19,3.811,0.219,0.477,0.281,5.153
114,0.8624,0.266,4.762,0.295,0.643,0.378,6.585
115,0.8754,0.254,4.492,0.287,0.635,0.388,6.306
116,0.8484,0.234,4.246,0.249,0.562,0.35,5.858
117,0.8473,0.262,4.765,0.294,0.652,0.371,6.586
118,0.8525,0.274,4.883,0.317,0.696,0.406,6.839
119,0.83,0.302,5.22,0.347,0.766,0.452,7.381
120,0.888,0.268,5.257,0.301,0.732,0.407,7.233
121,0.8742,0.274,4.929,0.299,0.699,0.4,6.86
122,0.88,0.219,4.175,0.209,0.479,0.289,5.555
123,0.8719,0.262,4.877,0.29,0.671,0.383,6.73
124,0.8526,0.208,4.326,0.304,0.584,0.328,5.982
136,0.8705,0.114,3.326,0.146,0.314,0.221,4.241
137,0.8876,0.2,4.158,0.253,0.536,0.378,5.73
138,0.8845,0.146,3.416,0.159,0.347,0.226,4.428
139,0.8549,0.121,2.987,0.127,0.279,0.181,3.8
140,0.8624,0.174,3.697,0.224,0.455,0.306,5.027
141,0.8754,0.204,4.02,0.222,0.497,0.321,5.452
142,0.8453,0.221,4.429,0.253,0.544,0.384,6.038
143,0.8484,0.215,3.939,0.237,0.51,0.38,5.474
144,0.8746,0.209,4.209,0.222,0.504,0.312,5.657
145,0.8605,0.058,2.221,0.055,0.125,0.063,2.567
146,0.8564,0.135,3.002,0.136,0.294,0.191,3.874
147,0.8663,0.064,2.263,0.058,0.124,0.065,2.627
148,0.8616,0.237,4.294,0.251,0.561,0.307,5.861
149,0.8357,0.144,3.561,0.151,0.35,0.219,4.56
150,0.849,0.206,4.057,0.227,0.498,0.36,5.537
151,0.8894,0.192,4.141,0.246,0.522,0.351,5.645
152,0.8773,0.177,3.589,0.189,0.452,0.263,4.842
153,0.8905,0.128,2.631,0.15,0.326,0.21,3.57
154,0.8439,0.201,4.114,0.223,0.512,0.315,5.562
155,0.7951,0.14,3.425,0.158,0.358,0.232,4.45
156,0.855,0.165,3.598,0.172,0.436,0.249,4.774
157,0.8741,0.117,3.076,0.136,0.292,0.215,3.947
158,0.8158,0.376,3.331,0.344,0.78,0.438,5.565
159,0.8471,0.138,3.277,0.135,0.329,0.188,4.19
160,0.884,0.201,4.054,0.217,0.515,0.305,5.487
161,0.8508,0.254,4.797,0.294,0.653,0.451,6.7
162,0.881,0.189,3.659,0.201,0.421,0.269,4.901
163,0.8852,0.218,4.211,0.241,0.549,0.336,5.765
164,0.8572,0.174,3.732,0.188,0.436,0.267,4.959
165,0.8101,0.129,3.323,0.149,0.343,0.223,4.297
166,0.8729,0.155,3.074,0.196,0.419,0.309,4.312
167,0.8785,0.233,4.464,0.241,0.579,0.344,6.075
168,0.8521,0.185,3.107,0.169,0.413,0.229,4.262
169,0.8672,0.226,4.044,0.22,0.531,0.31,5.531
170,0.8793,0.233,4.435,0.245,0.576,0.355,6.059
171,0.8526,0.217,4.238,0.236,0.543,0.321,5.764
30,0.8831,0.312,6.476,0.269,0.608,0.366,8.269
31,0.8848,0.324,5.11,0.295,0.71,0.417,7.117
32,0.8315,0.173,3.507,0.145,0.326,0.239,4.514
33,0.8957,0.122,2.919,0.101,0.211,0.08,3.512
34,0.8978,0.192,3.255,0.162,0.37,0.238,4.359
36,0.9011,0.276,4.609,0.273,0.617,0.359,6.365
37,0.8587,0.17,3.369,0.148,0.324,0.221,4.355
38,0.8942,0.17,3.205,0.162,0.34,0.224,4.232
39,0.8843,0.229,3.959,0.207,0.499,0.281,5.367
40,0.8791,0.234,4.148,0.234,0.526,0.35,5.694
41,0.8565,0.247,4.427,0.243,0.575,0.359,6.074
42,0.8824,0.113,3.158,0.119,0.285,0.18,3.954
43,0.8402,0.221,3.801,0.219,0.46,0.361,5.236
44,0.8008,0.116,2.84,0.108,0.253,0.165,3.579
45,0.8725,0.138,3.181,0.135,0.324,0.191,4.086
47,0.8834,0.347,5.345,0.339,0.793,0.487,7.613
49,0.8909,0.223,3.993,0.244,0.539,0.354,5.56
50,0.8641,0.248,4.445,0.25,0.575,0.38,6.114
52,0.88,0.177,3.57,0.171,0.376,0.244,4.681
53,0.8511,0.226,4.43,0.234,0.565,0.346,6.014
54,0.9046,0.156,3.543,0.169,0.353,0.268,4.623
55,0.9128,0.14,2.906,0.127,0.281,0.183,3.745
60,0.8645,0.19,3.587,0.181,0.42,0.273,4.806
61,0.8928,0.17,3.827,0.184,0.428,0.275,5.047
62,0.8665,0.167,3.729,0.185,0.415,0.27,4.927
63,0.9174,0.495,3.218,0.394,0.902,0.514,5.875
64,0.9057,0.115,3.297,0.138,0.298,0.178,4.141
66,0.8736,0.265,4.57,0.27,0.606,0.371,6.315
67,0.8978,0.173,3.568,0.19,0.405,0.248,4.739
68,0.9083,0.154,3.349,0.158,0.346,0.216,4.354
69,0.8445,0.239,4.52,0.233,0.552,0.343,6.095
71,0.8824,0.136,3.258,0.14,0.319,0.195,4.17
72,0.7924,0.738,5.381,0.666,1.513,0.82,9.704
73,0.8459,0.256,4.541,0.283,0.603,0.366,6.284
74,0.8981,0.178,3.631,0.201,0.418,0.288,4.876
75,0.8508,0.216,4.183,0.214,0.596,0.284,5.686
76,0.9425,0.145,3.231,0.131,0.318,0.182,4.126
77,0.9037,0.183,3.824,0.203,0.471,0.291,5.148
78,0.8737,0.116,3.077,0.128,0.292,0.182,3.905
79,0.8992,0.263,4.522,0.254,0.616,0.332,6.218
80,0.8307,0.162,3.275,0.171,0.391,0.264,4.404
81,0.8726,0.704,4.882,0.597,1.373,0.791,8.879
82,0.8883,0.128,3.364,0.154,0.347,0.196,4.313
83,0.834,0.252,4.646,0.271,0.625,0.338,6.365
84,0.9087,0.193,3.963,0.197,0.451,0.303,5.277
85,0.8845,0.251,4.466,0.265,0.608,0.386,6.201
87,0.8796,0.199,3.821,0.212,0.469,0.305,5.183
88,0.8439,0.201,3.996,0.212,0.522,0.338,5.457
89,0.8678,0.204,3.951,0.231,0.507,0.328,5.411
90,0.8479,0.177,3.668,0.196,0.444,0.265,4.92
91,0.89,0.063,2.311,0.069,0.147,0.067,2.711
92,0.8803,0.179,3.882,0.188,0.451,0.278,5.147
93,0.8692,0.268,4.728,0.332,0.64,0.368,6.589
94,0.8881,0.141,3.243,0.136,0.307,0.198,4.142
95,0.854,0.152,3.634,0.189,0.379,0.136,4.635
96,0.8661,0.166,3.076,0.178,0.402,0.268,4.251
97,0.8522,0.276,4.67,0.334,0.688,0.462,6.687
98,0.886,0.147,3.561,0.173,0.375,0.29,4.688
99,0.8442,0.119,3.067,0.133,0.292,0.206,3.929
