Case_ID,Dice_Score,Load_Time,MPI_Part_Time,GPU_Filter_Time,Gather_Time,ONNX_Infer_Time,Region_Grow_Time,Write_Time,Eval_Time,Total_Time
100,0.9149,0.173,0.000,0.000,0.000,5.797,0.160,0.423,0.287,6.998
101,0.8871,0.310,0.000,0.000,0.000,8.009,0.237,0.678,0.420,9.914
102,0.9031,0.235,0.000,0.000,0.000,6.467,0.190,0.539,0.329,7.968
103,0.8878,0.306,0.000,0.000,0.000,7.979,0.245,0.699,0.410,9.907
104,0.9078,0.231,0.000,0.000,0.000,7.310,0.227,0.624,0.364,8.996
105,0.9206,0.296,0.000,0.000,0.000,7.970,0.242,0.740,0.443,9.967
106,0.9209,0.218,0.000,0.000,0.000,6.624,0.183,0.524,0.341,8.086
107,0.9173,0.273,0.000,0.000,0.000,7.224,0.226,0.626,0.371,8.965
108,0.9235,0.270,0.000,0.000,0.000,7.905,0.220,0.656,0.367,9.669
109,0.9191,0.274,0.000,0.000,0.000,7.949,0.226,0.671,0.388,9.771
110,0.9227,0.291,0.000,0.000,0.000,8.685,0.253,0.756,0.423,10.695
111,0.9228,0.281,0.000,0.000,0.000,7.958,0.245,0.719,0.424,9.899
112,0.9215,0.223,0.000,0.000,0.000,7.289,0.200,0.619,0.368,8.931
113,0.9477,0.181,0.000,0.000,0.000,5.901,0.171,0.454,0.276,7.161
114,0.8919,0.251,0.000,0.000,0.000,7.205,0.225,0.627,0.356,8.912
115,0.9017,0.264,0.000,0.000,0.000,7.240,0.230,0.652,0.389,9.018
116,0.8835,0.225,0.000,0.000,0.000,6.571,0.194,0.553,0.348,8.099
117,0.9104,0.228,0.000,0.000,0.000,7.301,0.225,0.636,0.365,8.994
118,0.6783,0.257,0.000,0.000,0.000,7.981,0.235,0.681,0.387,9.805
119,0.8860,0.296,0.000,0.000,0.000,8.660,0.269,0.747,0.441,10.695
120,0.9224,0.268,0.000,0.000,0.000,8.035,0.229,0.700,0.399,9.892
121,0.9107,0.270,0.000,0.000,0.000,7.908,0.218,0.671,0.394,9.716
122,0.9126,0.213,0.000,0.000,0.000,5.833,0.154,0.475,0.298,7.159
123,0.9072,0.239,0.000,0.000,0.000,7.264,0.221,0.639,0.386,8.994
124,0.8921,0.233,0.000,0.000,0.000,7.233,0.222,0.578,0.327,8.813
136,0.9208,0.123,0.000,0.000,0.000,4.390,0.111,0.324,0.219,5.288
137,0.9433,0.219,0.000,0.000,0.000,6.494,0.197,0.534,0.387,8.033
138,0.9362,0.133,0.000,0.000,0.000,5.044,0.123,0.374,0.234,6.040
139,0.9170,0.115,0.000,0.000,0.000,4.361,0.098,0.274,0.165,5.144
140,0.9252,0.189,0.000,0.000,0.000,5.828,0.162,0.459,0.300,7.106
141,0.9429,0.213,0.000,0.000,0.000,6.538,0.173,0.492,0.304,7.918
142,0.9084,0.231,0.000,0.000,0.000,6.489,0.199,0.563,0.376,8.066
143,0.8966,0.208,0.000,0.000,0.000,6.516,0.185,0.505,0.367,7.971
144,0.9256,0.207,0.000,0.000,0.000,6.537,0.166,0.500,0.314,7.917
145,0.7497,0.053,0.000,0.000,0.000,2.948,0.042,0.124,0.057,3.280
146,0.8714,0.118,0.000,0.000,0.000,4.348,0.106,0.292,0.186,5.161
147,0.8935,0.039,0.000,0.000,0.000,2.898,0.043,0.120,0.056,3.207
148,0.8698,0.206,0.000,0.000,0.000,6.510,0.192,0.544,0.291,7.956
149,0.9015,0.122,0.000,0.000,0.000,5.018,0.114,0.356,0.252,5.999
150,0.9004,0.181,0.000,0.000,0.000,6.509,0.179,0.500,0.340,7.896
151,0.9294,0.187,0.000,0.000,0.000,6.472,0.197,0.523,0.357,7.938
152,0.9198,0.169,0.000,0.000,0.000,5.835,0.139,0.442,0.259,7.017
153,0.9461,0.118,0.000,0.000,0.000,4.377,0.112,0.341,0.232,5.308
154,0.9022,0.196,0.000,0.000,0.000,6.439,0.168,0.505,0.318,7.818
155,0.8475,0.140,0.000,0.000,0.000,5.106,0.122,0.365,0.237,6.117
156,0.9143,0.145,0.000,0.000,0.000,5.085,0.130,0.395,0.243,6.146
157,0.9494,0.117,0.000,0.000,0.000,4.320,0.106,0.287,0.207,5.146
158,0.8299,0.323,0.000,0.000,0.000,10.689,0.268,0.764,0.435,12.775
159,0.9060,0.122,0.000,0.000,0.000,4.359,0.100,0.316,0.197,5.221
160,0.9027,0.185,0.000,0.000,0.000,5.756,0.165,0.483,0.311,7.093
161,0.8903,0.241,0.000,0.000,0.000,7.919,0.219,0.682,0.445,9.750
162,0.9398,0.156,0.000,0.000,0.000,5.749,0.154,0.416,0.251,6.888
163,0.9347,0.210,0.000,0.000,0.000,6.571,0.183,0.556,0.341,8.070
164,0.9033,0.169,0.000,0.000,0.000,5.832,0.143,0.420,0.251,6.978
165,0.8376,0.128,0.000,0.000,0.000,5.085,0.111,0.339,0.221,6.018
166,0.8891,0.168,0.000,0.000,0.000,5.083,0.152,0.429,0.334,6.325
167,0.9138,0.231,0.000,0.000,0.000,6.485,0.187,0.553,0.329,7.999
168,0.8832,0.184,0.000,0.000,0.000,5.181,0.125,0.411,0.206,6.274
169,0.8692,0.206,0.000,0.000,0.000,6.523,0.167,0.516,0.295,7.908
170,0.9289,0.206,0.000,0.000,0.000,6.487,0.189,0.573,0.367,8.038
171,0.9153,0.211,0.000,0.000,0.000,6.576,0.172,0.555,0.315,8.038
30,0.9339,0.238,0.000,0.000,0.000,7.443,0.196,0.618,0.375,9.104
31,0.9367,0.263,0.000,0.000,0.000,7.954,0.216,0.690,0.405,9.787
32,0.8700,0.125,0.000,0.000,0.000,4.443,0.109,0.326,0.236,5.364
33,0.9531,0.125,0.000,0.000,0.000,3.657,0.078,0.206,0.079,4.232
34,0.8936,0.147,0.000,0.000,0.000,5.175,0.125,0.379,0.229,6.207
36,0.9501,0.238,0.000,0.000,0.000,7.219,0.205,0.600,0.355,8.849
37,0.9386,0.130,0.000,0.000,0.000,4.351,0.116,0.326,0.217,5.264
38,0.9590,0.137,0.000,0.000,0.000,5.067,0.124,0.361,0.238,6.059
39,0.8911,0.202,0.000,0.000,0.000,5.785,0.154,0.488,0.280,7.094
40,0.9404,0.225,0.000,0.000,0.000,6.486,0.177,0.535,0.345,7.966
41,0.9160,0.258,0.000,0.000,0.000,6.478,0.187,0.572,0.361,8.077
42,0.9444,0.132,0.000,0.000,0.000,3.641,0.092,0.259,0.174,4.402
43,0.9182,0.192,0.000,0.000,0.000,5.765,0.166,0.465,0.351,7.114
44,0.9336,0.106,0.000,0.000,0.000,3.640,0.084,0.251,0.161,4.343
45,0.9480,0.133,0.000,0.000,0.000,4.327,0.106,0.316,0.199,5.199
47,0.9453,0.308,0.000,0.000,0.000,8.636,0.253,0.783,0.487,10.758
49,0.9428,0.238,0.000,0.000,0.000,6.476,0.184,0.544,0.348,7.992
50,0.9374,0.244,0.000,0.000,0.000,6.591,0.185,0.574,0.389,8.197
52,0.9367,0.163,0.000,0.000,0.000,5.054,0.133,0.385,0.255,6.138
53,0.9152,0.217,0.000,0.000,0.000,6.509,0.180,0.560,0.342,8.021
